,word,frequency
3993,pastry,6
5341,starve,5
701,boil,5
951,centre,5
1193,compromise,5
2030,escape,5
2628,harass,5
3454,mayor,5
1025,choke,5
2695,highly,5
3626,most,5
3627,mostly,5
992,cheater,5
1036,church,5
6102,w,5
3463,measure,5
1925,elegant,5
2238,field,5
1926,element,5
691,blush,5
3057,island,5
4413,quarter,5
2443,gang,5
3358,machine,5
5304,sport,5
5160,smear,5
3445,math,5
3695,native,5
3156,lake,5
5696,tl,5
4388,punish,5
1618,despise,5
2052,evening,5
3208,leftover,5
4470,rat,5
2507,goal,5
6235,wit,5
6306,yr,5
2376,french,5
1389,cringe,5
126,acceptable,5
715,boom,5
4172,poll,5
6267,worthy,5
6041,vibe,5
4577,reject,5
1197,con,5
5546,talent,5
4121,plane,5
4169,politically,5
1273,context,5
599,bench,5
1037,churn,5
1670,dignity,5
4458,rank,5
1747,disrespect,5
4188,popular,5
397,artist,5
1107,code,5
386,arrive,5
41,2nd,5
5583,technology,5
3535,milk,5
6020,vegetable,5
5286,spin,5
980,character,5
4540,reduce,5
4438,racial,5
1114,cold,5
3114,key,5
6270,wreck,5
378,armed,5
1325,cost,5
5253,spare,5
5632,thick,5
1939,embarrassed,5
434,attend,5
3130,kindly,5
1726,disguise,5
3486,meme,5
5620,thankful,5
590,belief,5
631,billion,5
3405,manner,5
3478,meeting,5
2480,german,5
681,blond,5
4245,prediction,5
6258,worried,5
4800,sadly,5
5611,test,5
195,advance,5
367,arab,5
2011,epic,5
597,belong,5
1968,encourage,5
3067,japanese,5
2675,helicopter,5
2588,guide,5
4203,position,5
439,attractive,5
1698,disappointed,5
65,4th,5
1688,directly,5
193,adult,5
45,300,5
5290,spirit,5
6119,wanker,5
5650,thread,5
375,argument,5
5999,vacuous,5
3088,journalist,5
5240,sour,5
1181,complain,5
5371,stomach,5
6254,worker,5
1612,desire,5
3280,literal,5
3887,otherwise,5
5436,success,5
3878,organization,5
1435,cup,5
5423,style,5
2816,hypocrisy,5
3870,orange,5
1432,cultural,5
3865,oppress,5
5511,sweet,5
4036,perfectly,5
5790,tremendous,5
2824,icecream,5
4287,priority,5
830,business,5
525,banter,5
4976,shake,5
2830,identify,5
3856,operate,5
1135,colour,5
1852,dull,5
2528,got,5
1233,congratulatory,5
1422,crush,5
5526,synagogue,5
2120,extension,5
2190,fashion,5
2117,express,5
2614,ham,5
478,awkward,5
2805,hundred,5
531,barely,5
5444,suddenly,5
1879,easily,5
2771,hotcake,5
5848,twitch,5
880,candle,5
5842,twenty,5
3998,patience,5
1448,curse,5
2419,fund,5
1143,comeback,5
1469,daily,5
3955,paper,5
2325,foodie,5
2160,faith,5
5823,tsk,5
272,alright,5
2178,fantastic,5
5808,trophy,5
5881,uncle,5
1888,economic,5
4891,seal,5
1056,clap,5
5492,suspect,5
94,90,5
5451,suggest,5
4482,razor,5
1491,datum,5
859,calling,5
2150,fade,5
5796,trigger,5
1418,crumb,5
4589,release,5
1307,cope,5
1564,delusion,5
4603,remote,5
5706,tolerate,5
5392,strengthen,5
3795,nut,5
5708,tomato,5
2362,frame,5
3782,nowhere,5
774,brick,5
747,boycott,5
1829,drinking,5
5016,shoe,5
5391,strength,5
3313,looking,5
3762,nonsense,5
2072,excellent,5
3322,loss,5
925,caste,5
3317,loose,5
3744,nigga,5
5716,tool,5
5099,skin,5
1585,depend,5
4852,scare,5
2746,honor,5
3803,object,5
4863,science,5
1904,effect,5
1228,confused,5
5763,tragic,5
3300,logic,5
2195,fate,5
2862,immunity,5
2864,impact,5
1950,emotional,5
2868,impeach,5
4352,protection,5
1825,dreamer,5
4616,repeat,5
3823,odd,5
548,bastard,5
6233,wise,5
5704,tolerance,5
3719,neighbor,5
1843,dry,5
107,ability,5
1214,condition,5
5377,store,5
177,adequacy,4
5479,supremacy,4
2303,flog,4
2435,gain,4
1949,emotion,4
3251,lift,4
3160,lame,4
2641,hash,4
6099,vow,4
3209,leg,4
5543,taker,4
5499,swallow,4
158,actively,4
